County,Organisation,Project Title,Amount Sought,Organisation Type,Sport Type
Donegal,Aodh Ruadh,Aodh Ruadh - Replacement Playing surface,"€140,000",Sports Club,Gaelic Games
Donegal,Ballybofey United Football Club,Ballybofey United - New Club Playing Facility,"€74,952",Sports Club,Soccer
Donegal,Ballyliffin Golf Club,Refurbishment of Dressing Rooms and Academy Links,"€110,000",Sports Club,Golf
Donegal,Bruckless Boat Club,"“Rowing boats, trailer and life jackets.”","€22,370",Sports Club,Rowing
Donegal,Buncrana Gaa,Security Fencing Of Club Boundaries.,"€53,036",Sports Club,Gaelic Games
Donegal,Bundoran Waterworld Clg,Swim Centre,"€5,518",Local Authority,Swimming
Donegal,Burt GAA Club,Training Pitch Drainage,"€145,824",Sports Club,Gaelic Games
Donegal,Cairde le Cheile Committee Ltd,Ciarde Le Cheile sports facility,"€3,000",Community Group,Special Olympics
Donegal,Cappry Rovers AFC,Astro Development Cappry Ballybofey,"€139,141",Sports Club,Soccer
Donegal,Choiste Forbartha an Fháil Charraigh,Synthetic Flood Lit 3G AstroTurf Playing Pitch,"€115,709",Community Group,Soccer
Donegal,CLG Ard An Ratha,Dugouts,"€6,900",Sports Club,Gaelic Football
Donegal,CLG Chloich Cheann Fhaola,CLG Chloich Cheann Fhaola - Pitch Development 2017,"€141,029",Sports Club,Gaelic Football
Donegal,CLG Ghaoth Dobhair,Lift Installation ag CLG Ghaoth Dobhair Clubhouse,"€38,130",Sports Club,Gaelic Games
Donegal,CLG Gleann Fhinne,Underage Training Facility,"€25,000",Sports Club,Gaelic Games
Donegal,CLG Na Dunaibh,Improvements to facilities in CLG na nDúnaibh,"€40,000",Sports Club,Gaelic Football
Donegal,Clg Naomh Columba,Gym & training Equipment,"€23,717",Sports Club,Gaelic Games
Donegal,Cloughaneely Golf club,Cloughaneely Golf Club Drainage & Tee works,"€30,000",Community Group,Golf
Donegal,Coiste Forbartha Dhobhair Teo,"Goalposts, Gymnastic Equipment and Portable Stage","€11,755",Community Group,Multi-sport
Donegal,Convoy Arsenal FC,Upgrade of playing pitch.,"€40,000",Sports Club,Soccer
Donegal,Creevy & District Co-op Dev Soc Ltd,Creevy's Watersports Adventure Centre,"€21,154",Community Group,Angling/Fishing
Donegal,Cruit Island Golf Club,Clubhouse and Course Development,"€49,078",Sports Club,Golf
Donegal,Cumann Naomh Padraig,develop sand carpet grass pitch-training area.,"€107,120",Sports Club,Gaelic Games
Donegal,Desertegney Youth Club,Astro Turf grass pitch,"€50,000",Sports Club,Soccer
Donegal,DONEGAL COUNTY COUNCIL,Ballybofey - Stranorlar Fitness Trail,"€18,713",Local Authority,Multi-sport
Donegal,DONEGAL COUNTY COUNCIL,Ballyshannon Leisure Centre Sports for all,"€63,000",Local Authority,Multi-sport
Donegal,DONEGAL COUNTY COUNCIL,Carndonagh Mini Pitch,"€11,757",Local Authority,Multi-sport
Donegal,DONEGAL COUNTY COUNCIL,Letterkenny Outdoor Community Gym,"€18,748",Local Authority,Multi-sport
Donegal,Donegal Education and Training Board,Adventure Sports Equipment,"€23,368",Education & Training Board,Multi-sport
Donegal,Donegal Education and Training Board,Building Community through education and Sport,"€149,442",Education & Training Board,Multi-sport
Donegal,Donegal Education and Training Board,Purchase of Gym and Sportshall Athletics Equipment,"€21,210",Education & Training Board,Multi-sport
Donegal,Donegal Education and Training Board,Purchase of non-personal gymnasium equipment.,"€37,800",Education & Training Board,Multi-sport
Donegal,Donegal Juvenile Badminton,Elite Performance Training Aids County Squad Level,"€6,500",Sports Club,Badminton
Donegal,Donegal League Organisation Co. Ltd,Main pitch floodlighting and security fencing,"€140,000",Sports Club,Soccer
Donegal,Donegal Mountain Rescue,mountain emergency response equipment,"€27,747",Special Interest Group,Mountaineering
Donegal,Donegal Sea and Surf Paddlers,Canoe and kayaking equipment,"€3,098",Sports Club,Canoeing / Kayaking
Donegal,Donegal Sports Partnership,Active Start Programme – FMS for Children,"€15,000",Local Sports Partnership,Multi-sport
Donegal,"Donegal Town Soccer Club Trust Company
Ltd",Donegal Town Soccer Club,"€32,854",Sports Club,Soccer
Donegal,Drumkeen United Football Club,Pitch resurfacing and flood lighting,"€117,146",Sports Club,Soccer
Donegal,Dunfanaghy Youths FC,New Portacabin roof & floor for Dunfanaghy FC,"€7,195",Sports Club,Soccer
Donegal,"East Donegal Branch of the Irish Pony Club
(aka East Donegal Pony Club)",Purchase of Showjumping and Dressage Equipment,"€23,907",Sports Club,Equestrian Sports
Donegal,Erne Enterprise Development Company Ltd,Multi Use Lakeside Centre,"€128,942",Community Group,Multi-sport
Donegal,Fanad Gaels GAA Club,"Spectator Fence,Dug outs and Sports Equipment Shed","€51,655",Sports Club,Gaelic Games
Donegal,Finn Valley Women's Football Club,Sports equipment/storage for Women's Soccer Club.,"€9,277",Sports Club,Soccer
Donegal,Forbairt Na Rosann,Changing Rooms at Community Pitch,"€71,686",Community Group,Soccer
Donegal,Forbairt Pobail Ghleann Gaothbarra,Natural Playing Surface Development,"€63,022",Community Group,Gaelic Games
Donegal,Four Masters GAA Club,Four Masters Pitch Renewal,"€40,000",Sports Club,Gaelic Games
Donegal,Glengad FC,All weather training pitch & floodlights,"€117,748",Sports Club,Soccer
Donegal,Glenswilly GAA,The installation of a sports flood lighting system,"€150,000",Sports Club,Gaelic Football
Donegal,Greencastle Com. Dev. Co. Ltd,Sports Hall Enhancement Project,"€9,417",Sports Centre,Multi-sport
Donegal,Illies Community Development Association,Basalt dust surfaced running track,"€75,300",Community Group,Soccer
Donegal,Illies Golden Gloves Co Limited,IGG club Development Programme,"€26,000",Community Group,Boxing
Donegal,Inishowen Amateur Boxing and Fitness Club,Inishown amateur boxing & fitness club,"€10,500",Sports Club,Boxing
Donegal,Inishowen Football League,Inishowen Football League - Maginn Park,"€56,720",Sports Club,Soccer
Donegal,Inishowen Rugby Club,Provision of floodlights and security fencing.,"€105,974",Sports Club,Rugby
Donegal,INVER ROWING CLUB,Purchase of rowing and safety equipment,"€23,768",Sports Club,Rowing
Donegal,IRD Milford Ltd,Milford Park Development Outdoor GYM,"€9,542",Sports Centre,Multi-sport
Donegal,Keadue Rovers Limited,Installation of security & spectator fencing,"€25,000",Sports Club,Soccer
Donegal,Killybegs GAA,To Purchase Kubota Tractor Mower Model G23,"€13,400",Sports Club,Gaelic Games
Donegal,Kilmacrennan Community Development Group,Kilmacrennan Community Development Group,"€148,426",Community Group,Soccer
Donegal,Letterkenny Aura Ltd.,Re-surfacing of the sports hall floor,"€46,000",Sports Centre,Soccer
Donegal,Letterkenny Community Centre,Letterkenny Community Centre 3G AstroTurf Pitch,"€150,000",Community Group,Multi-sport
Donegal,Letterkenny Golf and Social Club,Course development equipment,"€60,179",Sports Club,Golf
Donegal,Letterkenny Rovers FC,"New all weather playing pitch, floodlights etc.","€150,000",Sports Club,Soccer
Donegal,Letterkenny Tennis Club,Club site development for regional centre status,"€122,376",Sports Club,Tennis
Donegal,Lifford Rifle & Pistol Association,"Covered firing point,mantel,fencing&ground baffles","€28,000",Sports Club,Shooting Sports
Donegal,Liquid Therapy,Surfboards and water equipment,"€11,511",Community Group,Surfing
Donegal,Loughros Point Rowing Club,Purchase of 4 Concept Dynamic Rowing Machines,"€4,552",Sports Club,Rowing
Donegal,Marlins Swim Club,Marlins Swimming Club Equipment,"€13,970",Sports Club,Swimming
Donegal,Motiv8 Powerlifting Club,Equipment,"€18,978",Sports Club,Weightlifting
Donegal,Moville Celtic Football Club Ltd.,Drainage to Grass Pitch & Purchase of a Lawnmower,"€39,588",Sports Club,Soccer
Donegal,MSC Tri,Training and safety equipment and storage facility,"€17,001",Sports Club,Triathlon
Donegal,Muff Community Development Co-op Ltd,Sports Equipment,"€18,159",Community Group,Multi-sport
Donegal,Naomh Colmcille CLG,Naomh Colmcille CLG improvement project,"€65,700",Sports Club,Gaelic Football
Donegal,Naomh Conaill GAA Club,Upgrade of green area for new training facility,"€71,061",Sports Club,Gaelic Games
Donegal,Naomh Padraig Leifear GAA Club,Sand Carpet Playing Pitch & Training Pitch,"€150,000",Sports Club,Gaelic Football
Donegal,otway golf club,Replacement Fairway mowing equipment,"€29,496",Sports Club,Golf
Donegal,"Pobail Pairthiocht Iar Dheisceart Dhun nc nGall
Teo",Sports Equipment,"€4,200",Community Group,Multi-sport
Donegal,Quigleys point swifts football club,Development of Full Grass Pitch,"€139,525",Sports Club,Soccer
Donegal,Raphoe Boxing Club,Modernisation of Amateur Boxing Club,"€76,282",Sports Club,Boxing
Donegal,Raphoe Community Sports Development Ltd,Raphoe Community Sports Pitch Development,"€130,000",Sports Club,Soccer
Donegal,Ray Community Group,Redevelop football pitch and upgrade tennis court,"€41,425",Community Group,Multi-sport
Donegal,Realt na Mara Bundoran GAA,Improvements to existing facilities,"€91,053",Sports Club,Gaelic Football
Donegal,Rosses AC,Rosses AC Track Upgrade,"€19,000",Sports Club,Athletics
Donegal,Sea Rovers FC,Bridge To Give Access To Pitch,"€22,301",Sports Club,Soccer
Donegal,St Brigid's Youth & Community Co OP,upgrading of Gymnasium equipment,"€73,881",Community Group,Multi-sport
Donegal,St Catherine's Football Club,St Catherine's Football Club,"€35,000",Sports Club,Soccer
Donegal,St. Catherine's Community Group,St Catherines Multi Purpose,"€15,000",Community Group,Multi-sport
Donegal,St. Columbas Diocesan Trust,Multi-function 2100 sq m natural surface pitch,"€130,141",Diocesan Trust,Multi-sport
Donegal,St. John Bosco Club,St. John Bosco Club,"€7,719",Community Group,Multi-sport
Donegal,St.Johnston Cricket Club,2017 St Johnston Cricket Club Sports Equipment,"€58,410",Sports Club,Cricket
Donegal,SwillySeals Amateur Swiming Club,Replacement of Club Equipment,"€18,273",Sports Club,Swimming
Donegal,The Village Rowing Club,Celtic Long Boat for The Village Rowing Club,"€22,800",Sports Club,Rowing
Donegal,Whitestrand United Football Club,"Facilities at Mc Garvey Park, Whitestrand Utd FC","€42,290",Sports Club,Soccer
Dublin,41st Dublin (St.Patrick's Dalkey) Group,Dalkey Sea Scouts - Sports Equipment replacement,"€4,500",Scout Troop,Multi-sport
Dublin,5th Port Dollymount Sea Scout Group,Sea Kayak /Sit on top initiative,"€8,498",Scout Troop,Rowing
Dublin,Activ Multisport,Activ Multi Sport equipment for training sessions.,"€9,500",Sports Club,Triathlon
Dublin,Adventure Sports Project,ASP Youth Fitness and Sports Conditioning Centre,"€21,647",Community Group,Soccer
Dublin,Aer Lingus Swimming Club,ALSC Competitive Swimming Development Programme,"€7,290",Sports Club,Swimming
Dublin,Aer Lingus Tennis Club (ALTC),Replacement of 2 tennis courts,"€25,000",Sports Club,Tennis
Dublin,Age and Opportunity,CarePALs Kitbags,"€27,000",Community Group,Multi-sport
Dublin,Aquatec Sub Aqua Club,Aquatec SAC Club Boat and Compressor Replacment,"€48,145",Sports Club,Diving/Snorkelling
Dublin,Arbour Hill Boxing Club,Refurbishment of existing clubhouse.,"€150,000",Sports Club,Boxing
Dublin,Athletic Association of Ireland Ltd,Athletics Ireland,"€200,000",National Governing Body of Sport,Athletics
Dublin,AUL - FAI Ltd,AUL upgrade Works,"€132,416",Sports Club,Soccer
Dublin,Badminton Ireland,Badminton Equipment and Courts,"€83,329",National Governing Body of Sport,Badminton
Dublin,Balbriggan Cricket Club,Balbriggan Cricket Club Equipment Application,"€38,142",Sports Club,Cricket
Dublin,Balbriggan Golf Club,Balbriggan Golf Club - Machinery Programme,"€103,430",Sports Club,Golf
Dublin,Balbriggan Rugby Football Club,Pitch Development,"€130,000",Sports Club,Rugby
Dublin,Ballinteer St Johns GAA Club,Practice Wall -Ballinteer Community School,"€25,000",Sports Club,Gaelic Games
Dublin,Ballyboden St Endas GAA Club,"Main Pitch Drainage in Sancta Maria, BBSE","€150,000",Sports Club,Gaelic Games
Dublin,Ballybough Boxing Club,Ballybough Amateur Boxing Club,"€14,515",Sports Club,Boxing
Dublin,Ballyboughal GFC,Develop 2nd grass pitch & Clubhouse extension,"€150,000",Sports Club,Gaelic Games
Dublin,Ballymun Kickhams GAA Club,Renewal of All-Weather GAA Pitch,"€150,000",Sports Club,Gaelic Football
Dublin,Balrothery Football Club,Balrothery FC - New Sports Equipment,"€19,580",Sports Club,Soccer
Dublin,Beann Eadair CLG,Ball Stop Netting,"€20,000",Sports Club,Gaelic Games
Dublin,Bective Ranger Football Club,Emergency Remedial Works & Part m Upgrade,"€150,000",Sports Club,Rugby
Dublin,Blackrock Bowling & Tennis Club,Blackrock Bowling & Tennis Club - adult facilities,"€50,000",Sports Club,Bowls
Dublin,Blackrock College Rugby Football Club,Construction - All Weather pitch and floodlighting,"€150,000",Sports Club,Rugby
Dublin,Bluewater Sub Aqua Club,Roadmap Moving Forward BWSAC,"€13,401",Sports Club,Diving/Snorkelling
Dublin,BRC Shooting Club,Advanced Shooter Training System BRC,"€27,230",Sports Club,Shooting Sports
Dublin,Broadford Rovers Football Club,Supply of Non Personal Sports Equipment,"€3,177",Sports Club,Soccer
Dublin,"Bushido Martial Arts Clondalkin (BMA
Clondalkin",Sport equipment upgrade,"€11,029",Sports Club,Martial Arts
Dublin,Cabinteely Football Club Limited,Toilet upgrade,"€3,400",Sports Club,Soccer
Dublin,Cabra For Youth Ltd,Cottage Storage,"€21,768",Youth Club,Multi-sport
Dublin,"Canal Communities Training Programme Turas
Ltd","Canal Communities Training Programme, Turas","€1,383",Community Group,Multi-sport
Dublin,Canoeing Ireland,Canoe Polo Ireland Development,"€67,420",National Governing Body of Sport,Canoeing / Kayaking
Dublin,Canoeing Ireland,Irish Canoe develop program,"€42,679",National Governing Body of Sport,Canoeing / Kayaking
Dublin,Canoeing Ireland,Training Centre Development & Accessibility,"€32,508",National Governing Body of Sport,Canoeing / Kayaking
Dublin,Canoeing Ireland,Wild Water Racing Development,"€13,300",National Governing Body of Sport,Canoeing / Kayaking
Dublin,"CARRICKMINES CROQUET & LAWN
TENNIS CLUB",LED outdoor flood lighting and irrigation system.,"€85,201",Sports Club,Tennis
Dublin,Castleknock Celtic FC,Castleknock Celtic FC Equipment Grant,"€23,295",Sports Club,Soccer
Dublin,Castleknock Hurling and Football Club,Training Area Development Project,"€145,000",Sports Club,Gaelic Games
Dublin,Charlemont Community Resource Centre Ltd,Sports Equipment /Facilities for Charlemont St.,"€22,069",Community Group,Soccer
Dublin,Cherry Orchard Football Club,Ride on mower and Astro turf maintenance brush,"€21,418",Sports Club,Soccer
Dublin,Civil Service Cricket Club,Install fire detection system in our clubhouse.,"€8,127",Sports Club,Cricket
Dublin,Clann Mhuire GFC,Pitch resurfacing with floodlights,"€133,830",Sports Club,Gaelic Football
Dublin,Clanna Gael Fontenoy,"Astro pitch resurfacing, gym, equipment and lift","€150,000",Sports Club,Gaelic Games
Dublin,CLG Na Fianna,Replace existing AstroTurf pitch,"€110,000",Sports Club,Gaelic Games
Dublin,Clontarf (Rugby) Football Club,Upgrade of Floodlights for Rugby Pitches,"€77,333",Sports Club,Rugby
Dublin,Clontarf Cricket Club,Upgrade of playing pitches at Clontarf CC,"€91,475",Sports Club,Cricket
Dublin,CLontarf GAA CLub,Refurbish Synthetic Pitch / Install Hurling Wall,"€150,000",Sports Club,Gaelic Games
Dublin,Clontarf Lawn Tennis Club,CLTC replacement upgrade to floodlighting systems,"€30,340",Sports Club,Tennis
Dublin,Clontarf Yacht & Boat Club,upgrade facilities for equality of access at CYBC,"€145,087",Sports Club,Sailing
Dublin,Commercial Rowing Club,Purchase of rowing boats and oars,"€119,153",Sports Club,Rowing
Dublin,Corinthians Boxing Club,Corinthians Boxing Club,"€9,500",Sports Club,Boxing
Dublin,Craobh Chiaráin GAA Club,Purchase of New Tractor Lawn Mower,"€23,075",Sports Club,Gaelic Games
Dublin,Cricket Ireland,Cricket Ireland High Performance Centre,"€179,932",National Governing Body of Sport,Cricket
Dublin,Crosscare outdoor learning,Crosscare Outdoor Learning Mountain Biking,"€16,000",Community Group,Multi-sport
Dublin,Cuala GAA,Refurbishment of dressing rooms/showers/toilets,"€45,000",Sports Club,Gaelic Games
Dublin,Dalkey Rowing Club,Acquire a new boat oars and equipment,"€19,526",Sports Club,Rowing
Dublin,Dalkey Scubadivers,Replacement engine for our dive boat.,"€20,830",Sports Club,Diving/Snorkelling
Dublin,De La Salle Palmerston R. F.C.,Pitch Equipment and Sports Equipment Upgrade,"€108,419",Sports Club,Rugby
Dublin,De Vesci Lawn Tennis Club,De Vesci Lawn Tennis Club - maintenance equipment,"€5,823",Sports Club,Tennis
Dublin,Deerpark Tennis Club,Replacement of essential equipment,"€2,726",Sports Club,Tennis
Dublin,Donabate Golf Club Limited,Golf Practice Facility,"€138,119",Sports Club,Golf
Dublin,Donabate Portrane Tennis Club Ltd,DPTC - 2 tennis courts & toilets,"€144,000",Sports Club,Tennis
Dublin,Donnybrook Lawn Tennis club,Refurbishment of Existing Floodlights,"€140,000",Sports Club,Tennis
Dublin,Donnycarney Youth Project,Transforming lives through Adventure Sports,"€25,307",Youth Club,Multi-sport
Dublin,DONORE BOXING CLUB,Gym equipment for Boxing club,"€13,165",Sports Club,Boxing
Dublin,Donore Harriers,"Replace Gas Boiler, purchase ride-on lawnmower.","€22,800",Sports Club,Athletics
Dublin,Drumcondra Football Club,Drumcondra FC Gym Equipment & Defribrillator,"€18,521",Sports Club,Soccer
Dublin,Dublin & Dun Laoghaire ETB,Páirc Uile Aimsir; Campas Lán Ghaelach,"€150,000",Education & Training Board,Soccer
Dublin,Dublin Bay Sailing Club,Sports Equipment for Dublin Bay Sailing Club,"€11,237",Sports Club,Sailing
Dublin,Dublin City Council,Belcamp Park - Resurfacing of Astro Pitch,"€200,000",Local Authority,Multi-sport
Dublin,Dublin City Council,Bluebell Youth & Comm Centre - Sports Equipment,"€11,358",Local Authority,Multi-sport
Dublin,Dublin City Council,Cabra Parkside - New Spinning Room,"€76,580",Local Authority,Multi-sport
Dublin,Dublin City Council,Cherry Orchard Community Centre - Sports Equipment,"€6,451",Local Authority,Multi-sport
Dublin,Dublin City Council,Cherry Orchard Equine Centre,"€89,158",Local Authority,Multi-sport
Dublin,Dublin City Council,Clontarf Beach Volley Ball Court,"€200,000",Local Authority,Multi-sport
Dublin,Dublin City Council,Coolock Sports Facility - Development of Gym,"€150,000",Local Authority,Multi-sport
Dublin,Dublin City Council,Dalymount Park Redevelopment,"€200,000",Local Authority,Multi-sport
Dublin,Dublin City Council,Darndale/Belcamp Rec Centre - Sports Equipment,"€22,202",Local Authority,Multi-sport
Dublin,Dublin City Council,DCC / Tennis Ireland National Training Centre,"€200,000",Local Authority,Multi-sport
Dublin,Dublin City Council,Good Counsel G.A.A. Club House,"€69,870",Local Authority,Multi-sport
Dublin,Dublin City Council,Herbert Park MUGA - Installation of Floodlights,"€28,139",Local Authority,Multi-sport
Dublin,Dublin City Council,Kilmore West Recreation Centre - Sports Equipment,"€11,358",Local Authority,Multi-sport
Dublin,Dublin City Council,Millwood Park - Ball Retaining Nets,"€12,184",Local Authority,Multi-sport
Dublin,Dublin City Council,Orchard Celtic - Goal Posts,"€1,519",Local Authority,Multi-sport
Dublin,Dublin City Council,Poppintree Community Centre Sports Equipment,"€23,855",Local Authority,Multi-sport
Dublin,Dublin City Council,Sheriff Street MUGA Installation of Flood Lights,"€26,000",Local Authority,Multi-sport
Dublin,Dublin City Council,Smithfield Boxing Club - Aughrim Street,"€23,360",Local Authority,Multi-sport
Dublin,Dublin City Council,Smithfield Market - MUGA,"€110,440",Local Authority,Multi-sport
Dublin,Dublin City Council,Sports & Wellbeing Partnership Sports Equipment,"€23,370",Local Authority,Multi-sport
Dublin,Dublin City Council,St. Catherines Community & Sports Facility,"€22,361",Local Authority,Multi-sport
Dublin,Dublin City Council,Tolka Park - Upgrading of Floodlights,"€71,013",Local Authority,Multi-sport
Dublin,Dublin Docklands Boxing Club,Docklands Boxing Club,"€23,074",Sports Club,Boxing
Dublin,Dublin Institute of Technology,DIT Broombridge Indoor Pitch Development,"€200,000",Third level college,Multi-sport
Dublin,Dublin International Handball Club,New pair of goals for Olympic Handball,"€1,149",Sports Club,Olympic Handball
Dublin,Dublin Model Car Club,Purchase of Race Timing Equipment,€960,Special Interest Group,Motor Sport
Dublin,Dublin Postal Sports Club Ltd,Refurbishment of Astro Pitches,"€118,000",Sports Club,Soccer
Dublin,Dublin Rebels American Football Club,Essential Equipment Upgrade,"€2,660",Sports Club,American Football
Dublin,Dun Laoghaire Motor Yacht Club,Purchase 5m RIB and Capstan Winch,"€25,000",Sports Club,Sailing
Dublin,Dun Laoghaire-Rathdown CoCo,Cabinteely Park Pitch drainage,"€52,385",Local Authority,Multi-sport
Dublin,Dun Laoghaire-Rathdown CoCo,Hudson Road Clubhouse,"€200,000",Local Authority,Multi-sport
Dublin,Dun Laoghaire-Rathdown CoCo,Hyde Park Community Sport & Leisure Facility Plan,"€135,627",Local Authority,Multi-sport
Dublin,Dun Laoghaire-Rathdown CoCo,Hyde Road Ball Stop Netting,"€9,500",Local Authority,Multi-sport
Dublin,Dun Laoghaire-Rathdown CoCo,Meadowvale Tennis facilities Upgrade,"€41,556",Local Authority,Multi-sport
Dublin,Dun Laoghaire-Rathdown CoCo,Refurbishment of Loreto Clubhouse/Changing rooms,"€60,001",Local Authority,Multi-sport
Dublin,Dun Laoghaire-Rathdown CoCo,Samuel Beckett Campus,"€200,000",Local Authority,Multi-sport
Dublin,Dun Laoghaire-Rathdown CoCo,The Metals Dun Laogharie-sports equipment,"€25,000",Local Authority,Multi-sport
Dublin,East Coast Garda Sailing Club,Upgrade club sailing vessel to extend use & range,"€84,500",Sports Club,Sailing
Dublin,East Coast Sea Kayaking Club,"East Coast Sea Kayak Club, Equipment Renewal","€7,255",Sports Club,Canoeing / Kayaking
Dublin,Enable Ireland Disability Services Ltd.,Acessible Multi-use Games Area for Children,"€5,000",Disability Group,Cerebral Palsy Sport
Dublin,Erin's Isle GAA Club,"Dressing Rooms,Toilets and Gym","€150,000",Sports Club,Gaelic Football
Dublin,Esker Celtic FC,Replacement of existing equipment and New,"€4,862",Sports Club,Soccer
Dublin,FENCING IRELAND,"FENCING IRELAND - COMPETITION & TRAINING
EQUIPMENT","€28,182",National Governing Body of Sport,Fencing
Dublin,Festina Lente Enterprises Ltd,Development of a Vaulting and Riding Programme,"€21,632",Community Group,Equestrian Sports
Dublin,Fingal County Council,Extension/Resurface of existing all weather pitch,"€150,000",Local Authority,Multi-sport
Dublin,Fingal County Council,Fingallians GAA Club - Ball Stop Netting,"€7,400",Local Authority,Multi-sport
Dublin,Fingal County Council,Kinsealy Boys Ball Stop Net/Palisade Storage Fence,"€24,045",Local Authority,Multi-sport
Dublin,Fingal County Council,New Full size Futsal/Indoor Training Hall,"€150,000",Local Authority,Multi-sport
Dublin,Fingal County Council,Portmarnock Sports & Leisure - New Padel Court,"€44,999",Local Authority,Multi-sport
Dublin,Fingal County Council,Refurbishment of Dressing Room/Showers/Toilets,"€95,379",Local Authority,Multi-sport
Dublin,Fingal County Council,Refurbishment of Tennis Courts at Balrothery,"€121,260",Local Authority,Multi-sport
Dublin,Fingal County Council,Replacement Surface of an All Weather Pitch,"€58,283",Local Authority,Multi-sport
Dublin,Fingal County Council,Skerries Community Centre - Replacement of Roof,"€150,000",Local Authority,Multi-sport
Dublin,Fingal County Council,Synthetic Soccer Pitch & Running Track,"€150,000",Local Authority,Multi-sport
Dublin,Fingal Ravens G.F.C.,New Floodlights to grass pitches at Fingal Ravens,"€75,662",Sports Club,Gaelic Football
Dublin,Fingal Rowing Club,FRC 2017 - Boat & Equipment Application,"€23,041",Sports Club,Rowing
Dublin,Fingallians GAA,Fingallians 2017 Site Development,"€53,209",Sports Club,Gaelic Games
Dublin,Firhouse Notre Dame Ladies Basketball Club,Firhouse Basketball Development,"€2,404",Sports Club,Basketball
Dublin,Forrest Little Golf Club,Development of Short Course on Existing Course,"€47,275",Sports Club,Golf
Dublin,Frankfort FC,Frankfort FC,"€2,750",Sports Club,Soccer
Dublin,Garda GAA Club (Westmanstown Gaels),Flood lighting on training pitch.,"€80,000",Sports Club,Gaelic Games
Dublin,GARDA SUB AQUA CLUB,Upgrade of safety equipment used for scuba diving,"€15,000",Sports Club,Diving/Snorkelling
Dublin,Glasnevin Lawn Tennis Club,Club Development 2017,"€150,000",Sports Club,Tennis
Dublin,Glenanne Trust Corp Ltd,Astroturf pitch replacement,"€150,000",Sports Club,Hockey
Dublin,Glenville Pitch & PUtt Club,Glenville Pitch & Putt Club,"€22,118",Sports Club,Pitch and Putt
Dublin,Grange Woodbine Residents Association Ltd,Renovate dressing rooms fencing and netting,"€93,501",Sports Club,Soccer
Dublin,Grangegorman Development Agency,"Grangegorman Campus Fencing, Netting & Warmup Area","€200,000",Third level college,Multi-sport
Dublin,Grasp Martial Arts,GMASafeSportGrant2017,"€4,357",Sports Club,Martial Arts
Dublin,Greenhills Boys Football Club,attic conversion and gym equiptment,"€54,048",Sports Club,Soccer
Dublin,Guinness Ladies Hockey Club,"Development of Club, specifically equipment","€1,411",Sports Club,Hockey
Dublin,Hardwicke FC,Hardwicke FC - Sports Equipment,"€15,391",Sports Club,Soccer
Dublin,Hercules Club,Repairs to Hercules structure,"€27,647",Sports Club,Weightlifting
Dublin,Howth Yacht Club Ltd,Changing Rooms Refurbishment,"€200,000",Sports Club,Sailing
Dublin,Ierne Sports & Social Club,Refurbishment and Equipment Renewal programme 2017,"€135,000",Sports Club,Tennis
Dublin,Innisfails Indoor Bowls,renew old indoor bowling mats and equipment,"€5,347",Sports Club,Bowls
Dublin,"Institute of the Blessed Virgin Mary/Loreto
Order",Resurfacing of sand-dressed all-weather pitch,"€150,000",Diocesan Trust,Multi-sport
Dublin,Irish Amateur Boxing Association,Ionad Spoirt Forbairt na nóg,"€104,004",National Governing Body of Sport,Boxing
Dublin,Irish Amateur Boxing Association,National Boxing Stadium,"€147,770",National Governing Body of Sport,Boxing
Dublin,Irish Amateur Boxing Association,National startbox program,"€10,060",National Governing Body of Sport,Boxing
Dublin,Irish Amateur Boxing Association,Ring side Training and Education Centre,"€76,721",National Governing Body of Sport,Boxing
Dublin,Irish Amateur Wrestling Association,equipment for training youth and children program,"€19,292",National Governing Body of Sport,Wrestling
Dublin,Irish Girl Guides,Geocaching for Girl Guides and Camping Equipment,"€25,000",National Governing Body of Sport,Multi-sport
Dublin,Irish Martial Arts Commission,Club Equipment Scheme,"€47,500",National Governing Body of Sport,Martial Arts
Dublin,Irish Martial Arts Commission,IMAC Defibrillation Scheme,"€19,000",National Governing Body of Sport,Martial Arts
Dublin,Irish Martial Arts Commission,Irish Martial Arts Commission Minibus Project,"€35,700",National Governing Body of Sport,Martial Arts
Dublin,Irish Martial Arts Commission,Kickboxing - Wako Scoring System,"€12,500",National Governing Body of Sport,Martial Arts
Dublin,Irish National Sailing Club (Locaste),Renewal of sailing equip. & purchase of new boats,"€40,058",Sports Club,Sailing
Dublin,Irish Orienteering Association,SportIdent Equipment upgrading,"€10,154",National Governing Body of Sport,Orienteering
Dublin,Irish Rugby Football Union,2017 Sports Capital Programme,"€150,000",National Governing Body of Sport,Rugby
Dublin,Irish Sailing Association,Girls for Gold 2020,"€161,653",National Governing Body of Sport,Sailing
Dublin,Irish Sailing Association,Irish Sailing Association Safety Craft,"€32,000",National Governing Body of Sport,Sailing
Dublin,Irish Sailing Association,Taking on TOKYO 2020,"€178,600",National Governing Body of Sport,Sailing
Dublin,Irish Table Tennis Association,Inclusive Development programme,"€79,841",National Governing Body of Sport,Table Tennis
Dublin,Irish Tenpin Bowling Association,Irish Tenpin Bowling Assoc-NDP Coaching Expansion,"€9,940",National Governing Body of Sport,Tenpin bowling
Dublin,Irish Underwater Council,Cardiac First Responder Training,"€38,000",National Governing Body of Sport,Diving/Snorkelling
